n_estimators,max_depth,Train_Acc,Test_Acc,Bias,Variance
10,2,0.9884615384615385,0.9884615384615385,0.011538461538461497,0.0
10,5,0.9951923076923077,0.9923076923076923,0.007692307692307665,0.0028846153846153744
10,None,1.0,0.9923076923076923,0.007692307692307665,0.007692307692307665
100,2,0.9942307692307693,0.9923076923076923,0.007692307692307665,0.0019230769230769162
100,5,0.9961538461538462,0.9923076923076923,0.007692307692307665,0.0038461538461538325
100,None,1.0,0.9923076923076923,0.007692307692307665,0.007692307692307665
500,2,0.9884615384615385,0.9884615384615385,0.011538461538461497,0.0
500,5,0.9961538461538462,0.9923076923076923,0.007692307692307665,0.0038461538461538325
500,None,1.0,0.9923076923076923,0.007692307692307665,0.007692307692307665
